ENG_NAME,MODE,CO_EI,HC_EI,NOX_EI,SOX_EI,SMOKE_NUM,FUEL_KG/S,ICAO_UID,MODE_SN
SSTENG,1,7.00,1.92,5.71,1.21,1.00,0.32,SSTENG,1.0
SSTENG,2,1.00,0.01,7.86,1.21,1.00,0.97,SSTENG,1.0
SSTENG,3,1.70,0.01,15.0,1.21,1.00,1.20,SSTENG,1.0
SSTENG,4,20.5,1.35,6.43,1.21,1.00,0.23,SSTENG,1.0
250B17B,1,47.2,5.2,2.2,0.54,-1,0.011,-,-1
250B17B,2,9.02,0.4,5.96,0.54,-1,0.0309,-,-1
250B17B,3,7.81,0.3,6.6,0.54,-1,0.0334,-,-1
250B17B,4,97,20,1,0.54,-1,0.0079,-,-1
501D22A,1,5.1,1.96,7.49,1,-1,0.1436,-,-1
501D22A,2,2.06,0.892,9.22,1,-1,0.2769,-,-1
501D22A,3,2.04,0.28,8.88,1,-1,0.2994,-,-1
501D22A,4,43.6,17.61,3.52,1,-1,0.0769,-,-1
6-285-B,1,1020,16.1,4.72,0.11,-1,0.0105,-,-1
6-285-B,2,668.1,8.37,5.5,0.11,-1,0.02092,-,-1
6-285-B,3,998,11.6,5.88,0.11,-1,0.01928,-,-1
6-285-B,4,363.7,10.7,0.463,0.11,-1,0.009087,-,-1
AE3007A,1,3.28,0.64,7.79,1,1,0.117,4AL003,0
AE3007A,2,0.92,0.29,17.47,1,1,0.315,4AL003,0
AE3007A,3,0.75,0.25,20.54,1,1,0.377,4AL003,1
AE3007A,4,17.35,2.51,3.83,1,1,0.049,4AL003,0
AE3007A1 (Type 1),1,3.91,0.655,7.1,1,0.01,0.113,6AL005,0.01
AE3007A1 (Type 1),2,0.96,0.257,16.63,1,0.01,0.318,6AL005,0.01
AE3007A1 (Type 1),3,0.77,0.221,19.66,1,1,0.3826,6AL005,1
AE3007A1 (Type 1),4,23.73,3.818,3.47,1,0.01,0.0461,6AL005,0.01
AE3007A1 (Type 2),1,1.36,0.18,7.2,1,0.01,0.113,6AL006,0.01
AE3007A1 (Type 2),2,0.01,0,19.58,1,0.01,0.318,6AL006,0.01
AE3007A1 (Type 2),3,0.12,0,22.41,1,0.01,0.3826,6AL006,0.01
AE3007A1 (Type 2),4,32.59,5.04,3.19,1,0.01,0.0461,6AL006,0.01
AE3007A1 (Type 3),1,6.72,0.03,7.13,1,0.01,0.113,6AL007,0.01
AE3007A1 (Type 3),2,0.56,0.03,14.07,1,0.01,0.318,6AL007,0.01
AE3007A1 (Type 3),3,0.75,0.03,16.17,1,0.01,0.3826,6AL007,0.01
AE3007A1 (Type 3),4,39.91,3.85,4.17,1,0.01,0.0461,6AL007,0.01
AE3007A1/1 (Type 1),1,3.93,0.658,7.07,1,0.01,0.1125,6AL008,0.01
AE3007A1/1 (Type 1),2,0.97,0.258,16.55,1,0.01,0.3163,6AL008,0.01
AE3007A1/1 (Type 1),3,0.77,0.222,19.57,1,1,0.3805,6AL008,1
AE3007A1/1 (Type 1),4,23.95,3.92,3.46,1,0.01,0.0459,6AL008,0.01
AE3007A1/1 (Type 2),1,1.4,0.18,7.16,1,0.01,0.1125,6AL009,0.01
AE3007A1/1 (Type 2),2,0,0,19.49,1,0.01,0.3163,6AL009,0.01
AE3007A1/1 (Type 2),3,0,0,22.31,1,0.01,0.3805,6AL009,0.01
AE3007A1/1 (Type 2),4,32.84,5.1,3.19,1,0.01,0.0459,6AL009,0.01
AE3007A1/1 (Type 3),1,6.8,0.03,7.12,1,0.01,0.1125,6AL010,0.01
AE3007A1/1 (Type 3),2,0.55,0.03,14.01,1,0.01,0.3163,6AL010,0.01
AE3007A1/1 (Type 3),3,0.74,0.03,16.1,1,0.01,0.3805,6AL010,0.01
AE3007A1/1 (Type 3),4,40.07,3.88,4.17,1,0.01,0.0459,6AL010,0.01
AE3007A1/3,1,4.04,0.76,6.99,1,-1,0.11,-,-1
